id,description,category,price,receiver,date,party,gifter,gift
254,"Ontvangen van de Federatie van Technologiebranches (FHI) een draagbare lamp van het merk Philips met een geschatte waarde van €35,-.",overig,35.0,"Belhaj, S. (Salima)",2018-12-20,D66,de Federatie van Technologiebranches (FHI),
255,"Ontvangen van BPRA een fles port en een prent van Den Haag naar aanleiding van de medewerking aan een bijeenkomst van BPRA. De gezamenlijke waarde is €50,-.",etenswaren en dranken,50.0,"Belhaj, S. (Salima)",2018-04-24,D66,BPRA een fles port en,
256,Ontvangen van Provincie Zeeland ontvangst inclusief lunch en toegang tot Vestingcross in Hulst. De waarde is onbekend.,overig,,"Belhaj, S. (Salima)",2018-02-18,D66,nan,
257,"Ontvangen van de Vereniging van Oud-Parlementariërs het boek ‘De formatie’ van Ed van Thijn ter waarde van €20,95.",boeken,20.95,"Bergkamp, V.A. (Vera)",2023-10-10,D66,de Vereniging van Oud-Parlementariërs,de Vereniging van Oud-Parlementariërs het boek ‘De formatie’ van Ed van Thijn ter waarde van
258,Ontvangen van medewerkers van de Nationale Assemblee uit Suriname het boek “Suriname Discovered”. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2023-09-18,D66,medewerkers van,de Nationale Assemblee uit Suriname het boek “Suriname Discovered”. De waarde is onbekend
259,Ontvangen van medewerkers van de Nationale Assemblee uit Suriname een glazen beeld met daarin 3D foto van het gebouw van het Nationale Assemblee van Suriname erin. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2023-09-18,D66,medewerkers van,de Nationale Assemblee uit Suriname een glazen beeld met daarin 3D foto van het gebouw van het Nationale Assemblee van Suriname erin. De waarde is onbekend
260,Ontvangen van de ambassadeur van China (TAN Jian) een doos Mooncakes i.h.k.v. een feestdag in China. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2023-09-14,D66,de ambassadeur van China (TAN Jian),de ambassadeur van China (TAN Jian) een doos Mooncakes i.h.k.v. een feestdag in China. De waarde is onbekend
261,"Ontvangen van de Provincie Zeeland een zilveren mosselbestek ter waarde van €30,-.",overig,30.0,"Bergkamp, V.A. (Vera)",2023-07-05,D66,de Provincie Zeeland,de Provincie Zeeland een zilveren mosselbestek ter waarde van
262,"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",boeken,22.99,"Bergkamp, V.A. (Vera)",2023-07-04,D66,Kees Verhoeven,het boek “De democratie crasht” ter waarde van
263,"Ontvangen van Paul Schnabel, voorzitter van bestuur Stichting Synthesis het boek ""Politieke polarisatie in Nederland"" ter waarde van € 19,90.",boeken,19.9,"Bergkamp, V.A. (Vera)",2023-07-03,D66,bestuur Stichting Synthesis," het boek ""Politieke polarisatie in Nederland"" ter waarde van"
264,"Ontvangen van Alexander van Kessel het boek ""Het vertrouwen zoek. De kabinetsformatie 2021/2022 geëvalueerd"" ter waarde van € 29,90.",boeken,29.9,"Bergkamp, V.A. (Vera)",2023-07-03,D66,Alexander van Kessel," het boek ""Het vertrouwen zoek. De kabinetsformatie 2021/2022 geëvalueerd"" ter waarde van"
265,"Ontvangen een ‘Schijf van Vijf kookboek’ gekregen van mw. Verhoef, directeur Voedingscentrum, ter waarde van €19.95.",boeken,19.95,"Bergkamp, V.A. (Vera)",2023-06-30,D66,nan," een ‘Schijf van Vijf kookboek’ gekregen van mw. Verhoef, directeur Voedingscentrum, ter waarde van"
266,"Ontvangen een doos met koffie/thee, cashewnoten, doek, honing en een ingelijst kunstwerk van zilveren lotusbloemen tijdens het ontvangst van de deputy prime minister van Vietnam. De waarde is onbekend.",bloemen,,"Bergkamp, V.A. (Vera)",2023-06-26,D66,zilveren lotusbloemen," een doos met koffie/thee, cashewnoten, doek, honing en een ingelijst kunstwerk van zilveren lotusbloemen tijdens het ontvangst van de deputy prime minister van Vietnam. De waarde is onbekend"
267,"Ontvangen van familie Khan het boek ‘de Heilige Qor’aan, Arabisch – Nederlands' ter waarde van €40,-, een bijlage bij de Heilige Qor’aan hoofdstuk 42 (ingelijst) en een doos dadels. De waarde is onbekend.",boeken,40.0,"Bergkamp, V.A. (Vera)",2023-06-26,D66,familie Khan," het boek ‘de Heilige Qor’aan, Arabisch – Nederlands' ter waarde van €40,-, een bijlage bij de Heilige Qor’aan hoofdstuk 42 (ingelijst) en een doos dadels. De waarde is onbekend"
268,"Ontvangen een boek over ‘Gelijk goed beginnen’ gekregen van de Directeur van SGF, Van Leer Foundation en Noaber Foundation, ter waarde van €31,50.",boeken,31.5,"Bergkamp, V.A. (Vera)",2023-05-31,D66,nan," een boek over ‘Gelijk goed beginnen’ gekregen van de Directeur van SGF, Van Leer Foundation en Noaber Foundation, ter waarde van"
269,"Ontvangen van het Anne Frank huis het boek 'Anne Frank Huis' ter waarde van €12,50.",boeken,12.5,"Bergkamp, V.A. (Vera)",2023-05-30,D66,het Anne Frank huis,het Anne Frank huis het boek 'Anne Frank Huis' ter waarde van
270,"Ontvangen tijdens het bezoek aan het Parlement en Senaat van België een kristallen vaas, een doosje chocolaatjes en een doos koekjes. De waarde is onbekend.",uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2023-05-15,D66,België," het bezoek aan het Parlement en Senaat van België een kristallen vaas, een doosje chocolaatjes en een doos koekjes. De waarde is onbekend"
271,"Ontvangen tijdens de Voorzittersconferentie in Praag van 23 t/m 25 april 2023 twee paar sokken, eau de toilet, make-up tasje, schaal en een ster van kraaltjes. De waarde onbekend.",overig,,"Bergkamp, V.A. (Vera)",2023-04-23,D66,23 t/m 25 april 2023,
272,Ontvangen uit handen van de Franse President een pen van het merk S.T. Dupont. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2023-04-11,D66,de Franse President,de Franse President een pen van het merk S.T. Dupont. De waarde is onbekend
273,Ontvangen van Thierry Baudet een chocolade paasei. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2023-04-11,D66,Thierry Baudet,een chocolade paasei. De waarde is onbekend
274,"Ontvangen het boek ‘Onze Constitutie’ van Wim Voermans ter waarde van €55,-.",boeken,55.0,"Bergkamp, V.A. (Vera)",2023-03-27,D66,nan,het boek ‘Onze Constitutie’ van Wim Voermans ter waarde van
275,"Ontvangen van de Indonesische delegatie een beeldje van Arjuna, een sjaal en een plaatje met het logo/wapen van het Parlement van Indonesië. De waarde is onbekend.",overig,,"Bergkamp, V.A. (Vera)",2023-03-16,D66,de Indonesische delegatie," de Indonesische delegatie een beeldje van Arjuna, een sjaal en een plaatje met het logo/wapen van het Parlement van Indonesië. De waarde is onbekend"
276,Ontvangen van Sheida Mohebbi het boek ‘De dood van alle illusies’. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2023-03-16,D66,Sheida Mohebbi,het boek ‘De dood van alle illusies’. De waarde is onbekend
277,Ontvangen een fles wijn 'De Line' als dank voor het geven van een interview bij het programma Spraakvermaak met een geschatte waarde van €15.,etenswaren en dranken,15,"Bergkamp, V.A. (Vera)",2023-03-12,D66,een interview bij,
278,"Ontvangen van de Georgische Parlementsvoorzitter een doosje met daarin twee flessen wijn, een rosé en een rode wijn. De waarde is onbekend.",etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2023-01-16,D66,de Georgische Parlementsvoorzitter," de Georgische Parlementsvoorzitter een doosje met daarin twee flessen wijn, een rosé en een rode wijn. De waarde is onbekend"
279,Ontvangen van de ambassade van Bangladesh een sjaal (bij een kerstkaart). De waarde is onbekend.,uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2022-12-23,D66,de ambassade van Bangladesh,de ambassade van Bangladesh een sjaal (bij een kerstkaart). De waarde is onbekend
280,Ontvangen van de ambassadeur van de Volksrepubliek China een doos koek. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2022-12-23,D66,de ambassadeur van,de ambassadeur van de Volksrepubliek China een doos koek. De waarde is onbekend
281,"Ontvangen van Guido Bres-Stichting het boek 'Guido, een gids voor vandaag' ter waarde van €12,95.",boeken,12.95,"Bergkamp, V.A. (Vera)",2022-12-21,D66,Guido Bres-Stichting," het boek 'Guido, een gids voor vandaag' ter waarde van"
282,"Ontvangen van Ruud Hoemaker een ""GO Greener"" kalender ter waarde van €9,99.",overig,9.99,"Bergkamp, V.A. (Vera)",2022-12-21,D66,Ruud Hoemaker," een ""GO Greener"" kalender ter waarde van"
283,Ontvangen van de Vietnamese delegatie een doos met etenswaren en thee en een grote vaas. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2022-12-21,D66,de Vietnamese delegatie,de Vietnamese delegatie een doos met etenswaren en thee en een grote vaas. De waarde is onbekend
284,"Ontvangen van Hugo Bos, campagneleider Cultuur onder Vuur, het boek 'hoe winnen we de klimaatoorlog?'. De waarde is onbekend.",boeken,,"Bergkamp, V.A. (Vera)",2022-12-21,D66,"Hugo Bos, campagneleider Cultuur onder Vuur,",het boek 'hoe winnen we de klimaatoorlog?'. De waarde is onbekend
285,Ontvangen van Jan Anthonie de Bruijn een fotoboekje van Prinsjesdag 2022. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2022-12-21,D66,Jan Anthonie,de Bruijn een fotoboekje van Prinsjesdag 2022. De waarde is onbekend
286,"Ontvangen het boek ‘Handboek Ministers’, ter waarde van € 44,99.",boeken,44.99,"Bergkamp, V.A. (Vera)",2022-12-14,D66,nan," het boek ‘Handboek Ministers’, ter waarde van"
287,Ontvangen een potje Haagse Binnenhof Bloemhoning. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2022-12-12,D66,nan,een potje Haagse Binnenhof Bloemhoning. De waarde is onbekend
288,"Ontvangen van de Parlementsvoorzitter van Georgië een replica van ‘Bronze Age Archeological Example, Sapurtsle Burial, Aragvi Gorge, 15th century B.C.’. De waarde is onbekend.",overig,,"Bergkamp, V.A. (Vera)",2022-12-05,D66,de Parlementsvoorzitter van Georgië," de Parlementsvoorzitter van Georgië een replica van ‘Bronze Age Archeological Example, Sapurtsle Burial, Aragvi Gorge, 15th century B.C.’. De waarde is onbekend"
289,Ontvangen van de ambassadeur van Bangladesh een sjaal van het merk Hand Touch. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2022-11-30,D66,de ambassadeur van Bangladesh,de ambassadeur van Bangladesh een sjaal van het merk Hand Touch. De waarde is onbekend
290,"Ontvangen het boek 'Mijn baas draagt ook een onderbroek' van Laurent de Vries ter waarde van € 9,95.",boeken,9.95,"Bergkamp, V.A. (Vera)",2022-11-23,D66,Laurent,het boek 'Mijn baas draagt ook een onderbroek' van Laurent de Vries ter waarde van
291,"Ontvangen het boek ‘Politieke Polarisatie in Nederland' van Paul Dekker ter waarde van € 19,90.",boeken,19.9,"Bergkamp, V.A. (Vera)",2022-10-26,D66,nan,het boek ‘Politieke Polarisatie in Nederland' van Paul Dekker ter waarde van
292,Ontvangen van de Somalische Parlementsvoorzitter een houten beeldje waarop een man en een kameel uitgebeeld staan. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2022-10-10,D66,de Somalische Parlementsvoorzitter,de Somalische Parlementsvoorzitter een houten beeldje waarop een man en een kameel uitgebeeld staan. De waarde is onbekend
293,"Ontvangen van het Centrum voor parlementaire geschiedenis als dank voor een bijdrage aan een symposium het boek ‘Grote idealen, smalle marges. Een parlementaire geschiedenis van de lange jaren zeventig’ ter waarde €49,90.",boeken,49.9,"Bergkamp, V.A. (Vera)",2022-09-08,D66,het Centrum,
294,"Ontvangen naar aanleiding van een gesprek op 6 juli 2022 het boek 'On Tyranny; Twenty Lessons from the Twentieth Century’ ter waarde van €7,99.",boeken,7.99,"Bergkamp, V.A. (Vera)",2022-07-18,D66,een gesprek op 6 juli 2022,een gesprek op 6 juli 2022 het boek 'On Tyranny; Twenty Lessons from the Twentieth Century’ ter waarde van
295,"Ontvangen tijdens een beleefdheidsbezoek van de ambassadeur van het Verenigd Koninkrijk de volgende 3 producten als geschenk gekregen: clotted cream shortbread van het merk House of Commons, chocola (melk en puur) van het merk",uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2022-06-27,D66,de ambassadeur van,
296,Ontvangen van de Belgische Parlementsvoorzitters een doosje Belgische chocolade van het merk Ariqua Denis en een sjaal. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2022-05-30,D66,de Belgische Parlementsvoorzitters,de Belgische Parlementsvoorzitters een doosje Belgische chocolade van het merk Ariqua Denis en een sjaal. De waarde is onbekend
297,Ontvangen van de familie Pieterson tijdens hun bezoek aan de Tweede Kamer twee paar sokken van ‘make a wish’. De waarde is onbekend.,uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2022-05-30,D66,de familie Pieterson,de familie Pieterson tijdens hun bezoek aan de Tweede Kamer twee paar sokken van ‘make a wish’. De waarde is onbekend
298,Ontvangen van de organisatie als dank voor het houden van een toespraak in Gorinchem bij een symposium ouderinitiatieven een pakket met een aantal voedingsmiddelen uit de streek. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2022-05-14,D66,de organisatie als dank,de organisatie als dank voor het houden van een toespraak in Gorinchem bij een symposium ouderinitiatieven een pakket met een aantal voedingsmiddelen uit de streek. De waarde is onbekend
299,"Ontvangen van de Armeense premier een boek met kaarten van Armenië, een fles Ararat en een klein Armeens tapijt. De waarde is onbekend.",uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2022-05-11,D66,de Armeense premier," de Armeense premier een boek met kaarten van Armenië, een fles Ararat en een klein Armeens tapijt. De waarde is onbekend"
300,Ontvangen van de President van Bosnië-Herzegovina een ingelijste plaquette in het zilver met de stadsaanzicht van Bosnië. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2022-04-25,D66,de President van Bosnië-Herzegovina,de President van Bosnië-Herzegovina een ingelijste plaquette in het zilver met de stadsaanzicht van Bosnië. De waarde is onbekend
301,"Ontvangen het boek ‘Het religieuze conflict in onze tijd’ ter waarde van €19,95.",boeken,19.95,"Bergkamp, V.A. (Vera)",2022-04-19,D66,nan,het boek ‘Het religieuze conflict in onze tijd’ ter waarde van
302,Ontvangen het fotoboek ‘In Memoriam’ van het Nationaal Holocaust Namenmonument in Amsterdam. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2022-04-12,D66,nan,het fotoboek ‘In Memoriam’ van het Nationaal Holocaust Namenmonument in Amsterdam. De waarde is onbekend
303,Ontvangen tijdens een staatsbanket van de President van India een marmeren (bijzet)tafeltje. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2022-04-06,D66,de President van India,een staatsbanket van de President van India een marmeren (bijzet)tafeltje. De waarde is onbekend
304,"Ontvangen van Noordhoff, uitgever van de bosatlassen, de 56e editie van de Grote Bosatlas ter waarde van €69,95.",boeken,69.95,"Bergkamp, V.A. (Vera)",2022-03-31,D66,"Noordhoff, uitgever van"," de bosatlassen, de 56e editie van de Grote Bosatlas ter waarde van"
305,"Ontvangen het boek ""De zeven vinkjes"" ter waarde van €21,99.",boeken,21.99,"Bergkamp, V.A. (Vera)",2022-02-09,D66,nan," het boek ""De zeven vinkjes"" ter waarde van"
306,"Ontvangen van J.Th.J. van den Berg het boek 'Macht verloren, gezag versterkt’ ter waarde van €14,95.",boeken,14.95,"Bergkamp, V.A. (Vera)",2022-01-25,D66,J.Th.J. van den Berg," het boek 'Macht verloren, gezag versterkt’ ter waarde van"
307,"Ontvangen van J.Th.J. van den Berg het boek ‘Kortheidshalve' ter waarde van €24,99.",boeken,24.99,"Bergkamp, V.A. (Vera)",2022-01-25,D66,J.Th.J. van den Berg,het boek ‘Kortheidshalve' ter waarde van
308,Ontvangen de Hermitage jaarkaart 2022. De waarde is onbekend.,uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2021-12-15,D66,nan,de Hermitage jaarkaart 2022. De waarde is onbekend
309,Ontvangen van de Belgische ambassade een doos chocola. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2021-11-22,D66,de Belgische ambassade,de Belgische ambassade een doos chocola. De waarde is onbekend
310,"Ontvangen van Tjeenk Willink het boek ""Kan de overheid crisis aan” van Herman Tjeenk Willink. De waarde is €17,50.",boeken,17.5,"Bergkamp, V.A. (Vera)",2021-11-19,D66,Tjeenk Willink,
311,"Ontvangen van Wim Kuijken van de Kiesraad, het boek 'Dienen en beïnvloeden , verhalen over ambtelijk vakmanschap', ter waarde van €19,95.",boeken,19.95,"Bergkamp, V.A. (Vera)",2021-11-18,D66,Wim Kuijken van," de Kiesraad, het boek 'Dienen en beïnvloeden , verhalen over ambtelijk vakmanschap', ter waarde van"
312,"Ontvangen tijdens een bezoek aan de Koninklijke Bibliotheek het boek 'Maria Sibylla Merian', ter waarde van €49,99.",uitnodigingen en tickets,49.99,"Bergkamp, V.A. (Vera)",2021-11-08,D66,nan," een bezoek aan de Koninklijke Bibliotheek het boek 'Maria Sibylla Merian', ter waarde van"
313,"Ontvangen van Rob Bakker het boek ""Boekhouders van de Holocaust – Nederlandse ambtenaren en de collaboratie"" ter waarde van € 29,50.",boeken,29.5,"Bergkamp, V.A. (Vera)",2021-11-03,D66,Rob Bakker," het boek ""Boekhouders van de Holocaust – Nederlandse ambtenaren en de collaboratie"" ter waarde van"
314,"Ontvangen het boek van Gerrie Vogels ""Nooit geen kinderen krijgen"" ter waarde van €15, 95.",boeken,15.95,"Bergkamp, V.A. (Vera)",2021-11-01,D66,nan," het boek van Gerrie Vogels ""Nooit geen kinderen krijgen"" ter waarde van"
315,"Ontvangen het boek van Paul Bovend’Eert ""Constitutioneel recht"" ter waarde van €59,-,",boeken,59.0,"Bergkamp, V.A. (Vera)",2021-10-22,D66,nan," het boek van Paul Bovend’Eert ""Constitutioneel recht"" ter waarde van"
316,"Ontvangen van de Onderwijsraad het boek ""Grenzen stellen, ruimte laten"". De waarde is onbekend.",boeken,,"Bergkamp, V.A. (Vera)",2021-10-08,D66,de Onderwijsraad," de Onderwijsraad het boek ""Grenzen stellen, ruimte laten"". De waarde is onbekend"
317,"Ontvangen van de Koninklijke Bibliotheek het boek “De geschiedenis van Nederland in 100 oude kaarten” ter waarde van €79,-.",uitnodigingen en tickets,79.0,"Bergkamp, V.A. (Vera)",2021-10-05,D66,de Koninklijke Bibliotheek,de Koninklijke Bibliotheek het boek “De geschiedenis van Nederland in 100 oude kaarten” ter waarde van
318,"Ontvangen van Bert van den Braak het boek “Zeventig jaar zoeken naar het compromister"" ter waarde van €56,99.",boeken,56.99,"Bergkamp, V.A. (Vera)",2021-10-04,D66,Bert van den Braak," het boek “Zeventig jaar zoeken naar het compromister"" ter waarde van"
319,Ontvangen van de Ambassadeur van The People’s Republic of China een doos met ‘Lava Custard Mooncakes’. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2021-09-23,D66,de Ambassadeur van The People’s Republic of China,de Ambassadeur van The People’s Republic of China een doos met ‘Lava Custard Mooncakes’. De waarde is onbekend
320,"Ontvangen van de WRR (Wetenschappelijke Raad voor het Regeringsbeleid) het boek ""Kiezen voor houdbare zorg"". De waarde is onbekend.",boeken,,"Bergkamp, V.A. (Vera)",2021-09-15,D66,de WRR (Wetenschappelijke Raad," de WRR (Wetenschappelijke Raad voor het Regeringsbeleid) het boek ""Kiezen voor houdbare zorg"". De waarde is onbekend"
321,Ontvangen van Ferd Grapperhaus het boek 'De weerloze samenleving'. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2021-09-13,D66,Ferd Grapperhaus,het boek 'De weerloze samenleving'. De waarde is onbekend
322,"Ontvangen van mw. Hageman uit Den Haag het boek ""Slotakkoord der kinderjaren"" van Wally de Lang ter waarde van €14,50.",boeken,14.5,"Bergkamp, V.A. (Vera)",2021-09-13,D66,mw. Hageman uit Den Haag," het boek ""Slotakkoord der kinderjaren"" van Wally de Lang ter waarde van"
323,"Ontvangen van Anton Greve het boekje ""Wat is er mis met de informatievoorziening in Nederland?"" ter waarde van €12,95.",boeken,12.95,"Bergkamp, V.A. (Vera)",2021-09-08,D66,Anton Greve," het boekje ""Wat is er mis met de informatievoorziening in Nederland?"" ter waarde van"
324,Ontvangen van Meesterleiders het boek ‘Inspireren met waarden’. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2021-07-29,D66,Meesterleiders,het boek ‘Inspireren met waarden’. De waarde is onbekend
325,"Ontvangen van de Director of the Hash Marihuana & Hemp Museum het boek ‘Weed of Wonder’ ter waarde van €34,50.",boeken,34.5,"Bergkamp, V.A. (Vera)",2021-07-22,D66,de Director of the Hash Marihuana & Hemp Museum,de Director of the Hash Marihuana & Hemp Museum het boek ‘Weed of Wonder’ ter waarde van
326,"Ontvangen van de Voorzitter van de Vereniging van Oud-Parlementariërs het boek ""Wacht u voor de erflaters"" van auteur Reinder van der Heide. De waarde is onbekend.",boeken,,"Bergkamp, V.A. (Vera)",2021-07-06,D66,de Voorzitter van," de Voorzitter van de Vereniging van Oud-Parlementariërs het boek ""Wacht u voor de erflaters"" van auteur Reinder van der Heide. De waarde is onbekend"
327,"Ontvangen van de Canadese Ambassade een doos met daarin een dopper en Canadese lekkernijen (zoals maple syrup) ter gelegenheid van ""Canada Day"". De waarde is onbekend.",etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2021-06-29,D66,de Canadese Ambassade," de Canadese Ambassade een doos met daarin een dopper en Canadese lekkernijen (zoals maple syrup) ter gelegenheid van ""Canada Day"". De waarde is onbekend"
328,"Ontvangen van Madeleine van Toorenburg een flesje tonic classic van 500 ml ter waarde van €1,38 en een flesje gin alcoholvrij van 500 ml, de waarde is onbekend.",etenswaren en dranken,1.38,"Bergkamp, V.A. (Vera)",2021-06-28,D66,Madeleine van Toorenburg,een flesje tonic classic van 500 ml ter waarde van
329,Ontvangen van de Ambassadeur Luxemburg een blik met chocolaatjes ter gelegenheid van the ‘National Day of Luxembourg’. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2021-06-23,D66,de Ambassadeur Luxemburg,de Ambassadeur Luxemburg een blik met chocolaatjes ter gelegenheid van the ‘National Day of Luxembourg’. De waarde is onbekend
330,"Ontvangen van The Palestinian Mission in Den Haag het boek ""Oorlogen & Oceanen"" van auteur Erik Ader ter waarde van € 24,99.",boeken,24.99,"Bergkamp, V.A. (Vera)",2021-05-19,D66,The Palestinian Mission in Den Haag," het boek ""Oorlogen & Oceanen"" van auteur Erik Ader ter waarde van"
331,Ontvangen per post twee zelfgemaakte sleutelhangers van een mevrouw uit Tilburg. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2021-05-04,D66,nan,twee zelfgemaakte sleutelhangers van een mevrouw uit Tilburg. De waarde is onbekend
332,"Ontvangen van Winq een fles Moët & Chandon Moët Brut Imperial cadeau. De geschatte waarde is € 50,-.",etenswaren en dranken,50.0,"Bergkamp, V.A. (Vera)",2021-04-08,D66,nan,
333,Ontvangen van 8RHK Ambassadeurs een doos brownies. De waarde is onbekend.,etenswaren en dranken,,"Bergkamp, V.A. (Vera)",2021-04-02,D66,8RHK Ambassadeurs,een doos brownies. De waarde is onbekend
334,Ontvangen van de Nederlandse maritieme maakindustrie een doosje sokken (Seas Socks). De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2021-04-02,D66,de Nederlandse maritieme maakindustrie,de Nederlandse maritieme maakindustrie een doosje sokken (Seas Socks). De waarde is onbekend
335,"Ontvangen van de nationale Opera twee kaarten voor de première van de opera ""Requiem"". De waarde is onbekend.",uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2019-02-09,D66,de nationale Opera," de nationale Opera twee kaarten voor de première van de opera ""Requiem"". De waarde is onbekend"
336,"Ontvangen van de nationale Opera twee kaarten voor de première van de opera ""Porgy & Bess"". De waarde is onbekend.",uitnodigingen en tickets,,"Bergkamp, V.A. (Vera)",2019-01-18,D66,de nationale Opera," de nationale Opera twee kaarten voor de première van de opera ""Porgy & Bess"". De waarde is onbekend"
337,"Ontvangen van Frank Willem Hoogervoorst vijf exemplaren van het boek ""NAHgenoeg niets te zien"". De waarde is onbekend.",boeken,,"Bergkamp, V.A. (Vera)",2018-06-18,D66,Frank Willem Hoogervoorst vijf exemplaren van," het boek ""NAHgenoeg niets te zien"". De waarde is onbekend"
338,"Ontvangen van het Vaderkenniscentrum de vadertrofee 2017 en een VVV-cadeaubon ter waarde van €50,-.",cadeaubonnen en geldbedragen,50.0,"Bergkamp, V.A. (Vera)",2018-06-15,D66,het Vaderkenniscentrum,het Vaderkenniscentrum de vadertrofee 2017 en een VVV-cadeaubon ter waarde van
339,Ontvangen van Hein Schafrat van Platform Cannabis Ondernemingen 5 boeken en 2 Dvd's. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2018-01-19,D66,Hein Schafrat van Platform Cannabis Ondernemingen,5 boeken en 2 Dvd's. De waarde is onbekend
340,Ontvangen van Maartje Bolt tijdens de kick off “Lees met andermans ogen” 5 boeken. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2018-01-17,D66,Maartje Bolt,de kick off “Lees met andermans ogen” 5 boeken. De waarde is onbekend
341,"Ontvangen van het NOC NSF een mini-tafeltennisset met balletjes, netje en batjes. De waarde is onbekend.",overig,,"Bergkamp, V.A. (Vera)",2016-09-14,D66,het NOC NSF," het NOC NSF een mini-tafeltennisset met balletjes, netje en batjes. De waarde is onbekend"
342,Ontvangen van ADE een koptelefoon. De waarde is onbekend.,overig,,"Bergkamp, V.A. (Vera)",2015-10-14,D66,nan,een koptelefoon. De waarde is onbekend
343,"Ontvangen van het Rotterdam Philharmonic Orchestra 1 CD van Vespers Rachmaninov en 1 CD van Ravel Daphnis et Chloé Pavane met een totale waarde van €50,-.",overig,50.0,"Bergkamp, V.A. (Vera)",2015-05-29,D66,het Rotterdam Philharmonic Orchestra 1,
344,"Ontvangen van het Burgercomité-EU het boek “Manifest aan het volk van Nederland: aanklacht tegen de afschaffing van ons land en de ondermijning van onze democratie” ter waarde van €15,-.",boeken,15.0,"Bergkamp, V.A. (Vera)",2015-05-28,D66,het Burgercomité-EU,het Burgercomité-EU het boek “Manifest aan het volk van Nederland: aanklacht tegen de afschaffing van ons land en de ondermijning van onze democratie” ter waarde van
345,"Ontvangen van Area Reiniging N.V. het boek ""Wake Up! Upcycle je regio"" ter waarde van €20,-.",boeken,20.0,"Bergkamp, V.A. (Vera)",2015-05-19,D66,Area Reiniging N.V.," het boek ""Wake Up! Upcycle je regio"" ter waarde van"
346,"Ontvangen van Uitgeverij Parthenon het boek ""Piramidesteden, afscheid van het kapitalisme, de wereldwijde armoede en roofbouw op de natuur"". De waarde is onbekend.",boeken,,"Bergkamp, V.A. (Vera)",2015-03-26,D66,Uitgeverij Parthenon," het boek ""Piramidesteden, afscheid van het kapitalisme, de wereldwijde armoede en roofbouw op de natuur"". De waarde is onbekend"
347,"Ontvangen van Valiz Boek- en culturele projecten het boek “No Culture, No Europe: On the Foundation of Politics” van de auteur Pascal Gielen (ed.) ter waarde van € 19,90.",boeken,19.9,"Bergkamp, V.A. (Vera)",2015-03-20,D66,Valiz Boek- en culturele projecten," het boek “No Culture, No Europe: On the Foundation of Politics” van de auteur Pascal Gielen (ed.) ter waarde van"
348,Ontvangen van Yes We Can Clinics het boek “Yes We Can Als niets meer werkt”. De waarde is onbekend.,boeken,,"Bergkamp, V.A. (Vera)",2015-02-18,D66,Yes We Can Clinics,het boek “Yes We Can Als niets meer werkt”. De waarde is onbekend
